,Date,Team,Acquired,Relinquished,Notes
28843,2015-02-20,Wizards,Kris Humphries,,returned to lineup
28844,2015-02-21,Bucks,Ersan Ilyasova,,returned to lineup
28845,2015-02-21,Bulls,,Kirk Hinrich,placed on IL with illness
28846,2015-02-21,Bulls,Cameron Bairstow,,activated from IL
28847,2015-02-21,Clippers,Austin Rivers,,returned to lineup
28848,2015-02-21,Hornets,Michael Kidd-Gilchrist,,returned to lineup
28849,2015-02-21,Pelicans,Norris Cole ,,activated from IL
28850,2015-02-21,Raptors,,Lou Williams,placed on IL with ankle injury
28851,2015-02-21,Raptors,Lucas Nogueira,,activated from IL
28852,2015-02-21,Thunder,,Kevin Durant,placed on IL with right foot injury (out for season)
28853,2015-02-21,Timberwolves,,Anthony Bennett,sprained right ankle (DTD)
28854,2015-02-21,Timberwolves,,Shabazz Muhammad,ruptured ligament in left middle finger (out for season)
28855,2015-02-22,76ers,Isaiah Canaan,,activated from IL
28856,2015-02-22,Blazers,,LaMarcus Aldridge,sprained right thumb (DTD)
28857,2015-02-22,Blazers,Arron Afflalo,,activated from IL
28858,2015-02-22,Magic,,Moe Harkless,placed on IL
28859,2015-02-22,Magic,Tobias Harris,,activated from IL
28860,2015-02-22,Mavericks,,Chandler Parsons,placed on IL with sprained left ankle
28861,2015-02-22,Mavericks,Amar'e Stoudemire,,activated from IL
28862,2015-02-22,Nuggets,Ty Lawson,,returned to lineup
28863,2015-02-22,Nuggets,Will Barton,,activated from IL
28864,2015-02-22,Pelicans,,Anthony Davis,sprained right shoulder (DTD)
28865,2015-02-22,Pelicans,,Ryan Anderson,sprained MCL in right knee (DTD)
28866,2015-02-22,Thunder,,Kevin Durant,surgery on right foot (out for season)
28867,2015-02-22,Warriors,,Stephen Curry,sprained right ankle / sore right foot (DTD)
28868,2015-02-22,Wizards,Kevin Seraphin,,returned to lineup
28869,2015-02-22,Pelicans,Shawne Williams,,returned to lineup
28870,2015-02-23,76ers,,Jason Richardson,bruised left knee (DTD)
28871,2015-02-23,76ers,,Jerami Grant,bruised lower back (DTD)
28872,2015-02-23,Bulls,,Taj Gibson,placed on IL with illness
28873,2015-02-23,Nets,,Bojan Bogdanovic,sprained left ankle (DTD)
28874,2015-02-23,Nuggets,,Wilson Chandler,sore left groin (DTD)
28875,2015-02-23,Raptors,,Patrick Patterson,placed on IL with left knee injury
28876,2015-02-23,Raptors,Lou Williams,,returned to lineup
28877,2015-02-23,Raptors,Lou Williams,,activated from IL
28878,2015-02-23,Rockets,,Kostas Papanikolaou,sprained right ankle (DTD)
28879,2015-02-23,Rockets,,Patrick Beverley,flu/illness (DTD)
28880,2015-02-23,Spurs,,Matt Bonner,placed on IL
28881,2015-02-23,Spurs,Jeff Pendergraph,,activated from IL
28882,2015-02-23,Suns,Marcus Thornton ,,activated from IL
28883,2015-02-23,Timberwolves,,Gary Neal,sprained right ankle (DTD)
28884,2015-02-23,Timberwolves,,Shabazz Muhammad,surgery on left middle finger to repair ruptured ligament (out for season)
28885,2015-02-23,Timberwolves,,Shabazz Muhammad,placed on IL with recovering from surgery on left middle finger to repair ruptured ligament (out for season)
28886,2015-02-24,Bulls,,Derrick Rose,torn medial meniscus in right knee (out indefinitely)
28887,2015-02-24,Cavaliers,,Shawn Marion,placed on IL with strained left hip
28888,2015-02-24,Raptors,Patrick Patterson,,activated from IL
28889,2015-02-24,Thunder,,Steve Novak,appendectomy (out indefinitely)
28890,2015-02-24,Warriors,Stephen Curry,,returned to lineup
28891,2015-02-25,76ers,Jason Richardson,,returned to lineup
28892,2015-02-25,76ers,Jerami Grant,,returned to lineup
28893,2015-02-25,Blazers,Alonzo Gee,,activated from IL
28894,2015-02-25,Blazers,LaMarcus Aldridge,,returned to lineup
28895,2015-02-25,Bucks,,O.J. Mayo,sore right hamstring (DTD)
28896,2015-02-25,Bucks,Michael Carter-Williams,,returned to lineup
28897,2015-02-25,Bulls,Kirk Hinrich,,activated from IL
28898,2015-02-25,Bulls,Taj Gibson,,activated from IL
28899,2015-02-25,Clippers,,Blake Griffin,placed on IL recovering from surgery on right elbow to remove staph infection
28900,2015-02-25,Jazz,,Ian Clark,placed on IL
28901,2015-02-25,Jazz,Grant Jerrett,,activated from IL
28902,2015-02-25,Kings,Reggie Evans,,activated from IL
28903,2015-02-25,Knicks,,Lance Thomas,strained left groin (DTD)
28904,2015-02-25,Lakers,,Nick Young,fractured left kneecap (out for season)
28905,2015-02-25,Lakers,,Ronnie Price,surgery on right elbow to remove bone spurs and chips (out for season)
28906,2015-02-25,Mavericks,,Tyson Chandler,strained left hip (DTD)
28907,2015-02-25,Mavericks,Dwight Powell,,activated from IL
28908,2015-02-25,Nets,Jarrett Jack,,returned to lineup
28909,2015-02-25,Nuggets,,Kenneth Faried,bruised left thumb (DTD)
28910,2015-02-25,Rockets,,Clint Capela,placed on IL
28911,2015-02-25,Rockets,,Kostas Papanikolaou,placed on IL with sprained right ankle
28912,2015-02-25,Rockets,Nick Johnson,,activated from IL
28913,2015-02-25,Spurs,,Reggie Williams,placed on IL
28914,2015-02-25,Spurs,Matt Bonner,,activated from IL
28915,2015-02-25,Thunder,,Steve Novak,placed on IL with appendectomy (date approximate)
28916,2015-02-25,Timberwolves,Gary Neal,,returned to lineup
28917,2015-02-25,Timberwolves,Kevin Garnett,,activated from IL
28918,2015-02-25,Wizards,,Paul Pierce,bruised right knee (DTD)
28919,2015-02-25,Bulls,,Derrick Rose,placed on IL with torn medial meniscus in righ tknee
28920,2015-02-27,Bulls,,Pau Gasol,placed on IL with illness
28921,2015-02-27,Cavaliers,,Kyrie Irving,strained left shoulder (DTD)
28922,2015-02-27,Cavaliers,,LeBron James,back injury (DTD)
28923,2015-02-27,Kings,,DeMarcus Cousins,placed on IL with sprained left ankle
28924,2015-02-27,Knicks,,Jose Calderon,sore/strained left Achilles (out for season)
28925,2015-02-27,Knicks,Lance Thomas,,returned to lineup
28926,2015-02-27,Knicks,Shane Larkin,,returned to lineup
28927,2015-02-27,Magic,,Aaron Gordon,placed on IL with sprained right ankle
28928,2015-02-27,Magic,,Evan Fournier,placed on IL with hip injury
28929,2015-02-27,Magic,Moe Harkless,,activated from IL
28930,2015-02-27,Magic,Roy Marble ,,activated from IL
28931,2015-02-27,Nuggets,,Darrell Arthur,sprained right calf (DTD)
28932,2015-02-27,Nuggets,,Jusuf Nurkic,sprained right ankle (DTD)
28933,2015-02-27,Nuggets,Kenneth Faried,,returned to lineup
28934,2015-02-27,Nuggets,Wilson Chandler,,returned to lineup
28935,2015-02-27,Rockets,Patrick Beverley,,returned to lineup
28936,2015-02-27,Spurs,,Jeff Pendergraph,placed on IL
28937,2015-02-27,Spurs,Reggie Williams,,activated from IL
28938,2015-02-27,Thunder,,Enes Freedom,bruised right thigh (DTD)
28939,2015-02-27,Timberwolves,,Anthony Bennett,placed on IL with sprained right ankle
28940,2015-02-27,Warriors,,Andre Iguodala,rest (DTD)
28941,2015-02-27,Wizards,,Kris Humphries,strained left groin (DTD)
28942,2015-02-27,Bulls,,Derrick Rose,surgery on right knee to repair torn medial meniscus (out indefinitely)
28943,2015-02-27,Timberwolves,Robbie Hummel,,activated from IL
28944,2015-02-27,Timberwolves,,Robbie Hummel,fractured right hand (DTD)
28945,2015-02-28,Bucks,,Jared Dudley,knee injury (DTD)
28946,2015-02-28,Bucks,O.J. Mayo,,returned to lineup
28947,2015-02-28,Heat,,Chris Andersen,placed on IL with illness
28948,2015-02-28,Mavericks,,Tyson Chandler,placed on IL with strained left hip
28949,2015-02-28,Nets,Bojan Bogdanovic,,returned to lineup
28950,2015-02-28,Raptors,,Kyle Lowry,placed on IL for rest
28951,2015-02-28,Spurs,,Reggie Williams,placed on IL
28952,2015-02-28,Spurs,Jeff Pendergraph,,activated from IL
28953,2015-02-28,Thunder,,Russell Westbrook,surgery on right cheek to repair fracture (DTD)
28954,2015-02-28,Wizards,,Kris Humphries,placed on IL with strained left groin
28955,2015-02-28,Wizards,Bradley Beal,,activated from IL
28956,2015-02-28,Wizards,Paul Pierce,,returned to lineup
28957,2015-03-01,Blazers,,Allen Crabbe,placed on IL
28958,2015-03-01,Blazers,Joel Freeland,,activated from IL
28959,2015-03-01,Bulls,,Taj Gibson,placed on IL with sore left ankle
28960,2015-03-01,Bulls,Pau Gasol,,activated from IL
28961,2015-03-01,Cavaliers,LeBron James,,returned to lineup
28962,2015-03-01,Hornets,,P.J. Hairston,placed on IL
28963,2015-03-01,Hornets,Bismack Biyombo,,activated from IL
28964,2015-03-01,Thunder,Enes Freedom,,returned to lineup
28965,2015-03-01,Warriors,Andre Iguodala,,returned to lineup
28966,2015-03-02,76ers,,Jason Richardson,bruised left wrist (DTD)
28967,2015-03-02,76ers,,Robert Covington,bruised right elbow (DTD)
28968,2015-03-02,Bucks,,O.J. Mayo,sore right hamstring (DTD)
28969,2015-03-02,Bucks,Jared Dudley,,returned to lineup
28970,2015-03-02,Bulls,,Jimmy Butler,sprained left elbow (DTD)
28971,2015-03-02,Clippers,,Matt Barnes,strained right hamstring (DTD)
28972,2015-03-02,Heat,Chris Andersen,,activated from IL
28973,2015-03-02,Raptors,,Kyle Lowry,various injuries (DTD)
28974,2015-03-02,Timberwolves,,Kevin Martin,illness (DTD)
28975,2015-03-02,Timberwolves,,Nikola Pekovic,ankle injury (DTD)
28976,2015-03-02,Timberwolves,,Robbie Hummel,placed on IL with fractured right hand
28977,2015-03-02,Warriors,,Leandro Barbosa,illness / upper respiratory infection (DTD)
28978,2015-03-03,Bulls,,Jimmy Butler,placed on IL with sprained left elbow
28979,2015-03-03,Cavaliers,Kyrie Irving,,returned to lineup
28980,2015-03-03,Grizzlies,,Beno Udrih,illness (DTD)
28981,2015-03-03,Grizzlies,,Zach Randolph,illness (DTD)
28982,2015-03-03,Kings,,Darren Collison,surgery on right hip to repair strained flexor (out for season)
28983,2015-03-03,Kings,DeMarcus Cousins,,activated from IL
28984,2015-03-03,Knicks,,Jose Calderon,placed on IL with sore/strained left Achilles (out for season)
28985,2015-03-03,Nuggets,Darrell Arthur,,returned to lineup
28986,2015-03-04,76ers,Jason Richardson,,returned to lineup
28987,2015-03-04,Celtics,,Shavlik Randolph,placed on IL with waived
28988,2015-03-04,Celtics,Kelly Olynyk,,activated from IL
28989,2015-03-04,Clippers,,Jamal Crawford,bruised right calf (DTD)
28990,2015-03-04,Grizzlies,Beno Udrih,,returned to lineup
28991,2015-03-04,Grizzlies,Zach Randolph,,returned to lineup
28992,2015-03-04,Magic,,Luke Ridnour,strained right hamstring (DTD)
28993,2015-03-04,Magic,,Roy Marble ,placed on IL with detached retina in left eye (out for season)
28994,2015-03-04,Magic,Aaron Gordon,,activated from IL
28995,2015-03-04,Pacers,,C.J. Watson,elbow injury (DTD)
28996,2015-03-04,Pacers,,Roy Hibbert,placed on IL with elbow injury
28997,2015-03-04,Pacers,Shayne Whittington,,activated from IL
28998,2015-03-04,Pelicans,Anthony Davis,,returned to lineup
28999,2015-03-04,Thunder,Russell Westbrook,,returned to lineup
29000,2015-03-04,Timberwolves,Kevin Martin,,returned to lineup
29001,2015-03-04,Timberwolves,Nikola Pekovic,,returned to lineup
29002,2015-03-05,Mavericks,,Dwight Powell,placed on IL
29003,2015-03-05,Mavericks,Tyson Chandler,,activated from IL
29004,2015-03-06,76ers,Robert Covington,,returned to lineup
29005,2015-03-06,Blazers,,Wes Matthews Jr.,torn left Achilles tendon (out for season)
29006,2015-03-06,Celtics,,Avery Bradley,placed on IL with strained left elbow
29007,2015-03-06,Celtics,Shavlik Randolph,,activated from IL
29008,2015-03-06,Grizzlies,Vince Carter,,activated from IL
29009,2015-03-06,Heat,,Dwyane Wade,hip injury (DTD)
29010,2015-03-06,Heat,,Luol Deng,thigh injury (DTD)
29011,2015-03-06,Heat,,Mario Chalmers,knee injury (DTD)
29012,2015-03-06,Magic,,Nikola Vucevic,sore left ankle (DTD)
29013,2015-03-06,Magic,,Willie Green,sore right Achilles (DTD)
29014,2015-03-06,Mavericks,,Devin Harris,placed on IL with right hand injury / hip injury (P)
29015,2015-03-06,Mavericks,Dwight Powell,,activated from IL
29016,2015-03-06,Pacers,,Shayne Whittington,placed on IL
29017,2015-03-06,Pacers,C.J. Watson,,returned to lineup
29018,2015-03-06,Pacers,Roy Hibbert,,activated from IL
29019,2015-03-06,Raptors,,Lucas Nogueira,placed on IL
29020,2015-03-06,Raptors,Kyle Lowry,,returned to lineup
29021,2015-03-06,Raptors,Kyle Lowry,,activated from IL
29022,2015-03-06,Rockets,,Nick Johnson,placed on IL
29023,2015-03-06,Warriors,Leandro Barbosa,,returned to lineup
29024,2015-03-06,Rockets,Kostas Papanikolaou,,activated from IL
29025,2015-03-06,Rockets,,Kostas Papanikolaou,sprained right ankle (DTD)
29026,2015-03-07,Blazers,,Wes Matthews Jr.,placed on IL with torn left Achilles tendon (out for season)
29027,2015-03-07,Blazers,Allen Crabbe,,activated from IL
29028,2015-03-07,Hawks,,Kyle Korver,placed on IL
29029,2015-03-07,Hawks,,Pero Antic,ankle injury (DTD)
29030,2015-03-07,Heat,,Goran Dragic,back injury (DTD)
29031,2015-03-07,Heat,,Hassan Whiteside,ankle injury (DTD)
29032,2015-03-07,Heat,Dwyane Wade,,returned to lineup
29033,2015-03-07,Heat,Mario Chalmers,,returned to lineup
29034,2015-03-07,Knicks,,Lou Amundson,lower back spasms (DTD)
29035,2015-03-07,Suns,,Alex Len,sprained right ankle (DTD)
29036,2015-03-08,Clippers,,Jamal Crawford,placed on IL with bruised right calf
29037,2015-03-08,Clippers,Matt Barnes,,returned to lineup
29038,2015-03-08,Mavericks,Chandler Parsons,,activated from IL
29039,2015-03-08,Pistons,,Joel Anthony,groin injury (DTD)
29040,2015-03-08,Thunder,Steven Adams,,activated from IL
29041,2015-03-08,Mavericks,,Dwight Powell,placed on IL
29042,2015-03-09,Hawks,,Jarell Eddie,placed on IL
29043,2015-03-09,Hawks,Kyle Korver,,activated from IL
29044,2015-03-09,Heat,,Udonis Haslem,wrist injury (DTD)
29045,2015-03-09,Heat,,Zoran Dragic,placed on IL
29046,2015-03-09,Heat,Hassan Whiteside,,returned to lineup
29047,2015-03-09,Heat,Luol Deng,,returned to lineup
29048,2015-03-09,Knicks,,Quincy Acy,sore left knee (DTD)
29049,2015-03-09,Knicks,,Tim Hardaway Jr.,lower back spasms (DTD)
29050,2015-03-09,Knicks,Lou Amundson,,returned to lineup
29051,2015-03-09,Suns,Alex Len,,returned to lineup
29052,2015-03-10,Jazz,,Gordon Hayward,strained lower back (DTD)
29053,2015-03-10,Magic,Luke Ridnour,,returned to lineup
29054,2015-03-10,Magic,Nikola Vucevic,,returned to lineup
29055,2015-03-10,Magic,Willie Green,,returned to lineup
29056,2015-03-10,Mavericks,,Greg Smith ,placed on IL
29057,2015-03-10,Mavericks,Devin Harris,,activated from IL
29058,2015-03-10,Pacers,,C.J. Miles,placed on IL with foot injury
29059,2015-03-10,Pacers,Shayne Whittington,,activated from IL
29060,2015-03-10,Pelicans,,Tyreke Evans,ankle injury (DTD)
29061,2015-03-10,Pistons,,Joel Anthony,placed on IL with groin injury
29062,2015-03-10,Spurs,,Manu Ginobili,placed on IL with illness
29063,2015-03-10,Spurs,Reggie Williams,,activated from IL
29064,2015-03-11,Bucks,,Jerryd Bayless,sore right ankle (DTD)
29065,2015-03-11,Bucks,O.J. Mayo,,returned to lineup
29066,2015-03-11,Bulls,,Joakim Noah,left knee injury (DTD)
29067,2015-03-11,Celtics,,Isaiah Thomas,placed on IL with back injury
29068,2015-03-11,Celtics,Avery Bradley,,activated from IL
29069,2015-03-11,Hawks,Pero Antic,,returned to lineup
29070,2015-03-11,Heat,Goran Dragic,,returned to lineup
29071,2015-03-11,Heat,Udonis Haslem,,returned to lineup
29072,2015-03-11,Hornets,,Cody Zeller,placed on IL with shoulder injury
29073,2015-03-11,Hornets,Kemba Walker,,activated from IL
29074,2015-03-11,Magic,,Willie Green,lower back spasms (DTD)
29075,2015-03-11,Nets,,Alan Anderson,bruised lower back (DTD)
"29076,2015-03-11,Nets,,Sergey Karasev,""placed on IL with torn MCL, disloated patella in right knee (out for season)"""
29077,2015-03-11,Pistons,Joel Anthony,,activated from IL
29078,2015-03-11,Rockets,,Kostas Papanikolaou,placed on IL with sprained right ankle
29079,2015-03-11,Rockets,Nick Johnson,,activated from IL
29080,2015-03-11,Suns,,Brandon Knight,placed on IL with sprained left ankle
29081,2015-03-11,Pistons,,Quincy Miller,placed on IL
29082,2015-03-12,Bucks,,O.J. Mayo,hamstring injury / rest (DTD)
29083,2015-03-12,Grizzlies,,Marc Gasol,rest (DTD)
29084,2015-03-12,Grizzlies,,Mike Conley Jr.,ankle injury (DTD)
29085,2015-03-12,Grizzlies,,Mike Conley Jr.,placed on IL for rest
29086,2015-03-12,Grizzlies,,Tony Allen,placed on IL for rest
29087,2015-03-12,Grizzlies,,Zach Randolph,rest (DTD)
29088,2015-03-12,Grizzlies,Jarnell Stokes,,activated from IL
29089,2015-03-12,Grizzlies,Russ Smith,,activated from IL
29090,2015-03-12,Jazz,Gordon Hayward,,returned to lineup
29091,2015-03-12,Knicks,Tim Hardaway Jr.,,returned to lineup
"29092,2015-03-12,Nets,,Sergey Karasev,""surgery on right knee to repair torn MCL, dislocated patella (out for season) (date approximate)"""
29093,2015-03-12,Pacers,,Roy Hibbert,placed on IL with elbow injury
29094,2015-03-12,Pacers,C.J. Miles,,activated from IL
29095,2015-03-12,Spurs,,Reggie Williams,placed on IL
29096,2015-03-12,Spurs,Manu Ginobili,,activated from IL
29097,2015-03-12,Wizards,,Garrett Temple,hamstring injury (DTD)
29098,2015-03-13,76ers,,Jason Richardson,rest (DTD)
29099,2015-03-13,Blazers,,Alonzo Gee,oral surgery (DTD)
29100,2015-03-13,Bulls,Joakim Noah,,returned to lineup
29101,2015-03-13,Hawks,, Mike Scott,placed on IL with fractured left big toe
29102,2015-03-13,Hawks,Jarell Eddie,,activated from IL
29103,2015-03-13,Hornets,,Al Jefferson,placed on IL with strained right knee / right calf injury (P)
29104,2015-03-13,Hornets,P.J. Hairston,,activated from IL
29105,2015-03-13,Kings,,Ryan Hollins,back spasms (DTD)
29106,2015-03-13,Mavericks,,Al-Farouq Aminu,placed on IL with bruised/sprained left shoulder
29107,2015-03-13,Mavericks,Greg Smith ,,activated from IL
29108,2015-03-13,Nuggets,,Darrell Arthur,knee injury (DTD)
29109,2015-03-13,Nuggets,,Ty Lawson,illness (DTD)
29110,2015-03-13,Nuggets,Jusuf Nurkic,,returned to lineup
29111,2015-03-13,Pistons,Joel Anthony,,returned to lineup
29112,2015-03-13,Raptors,Bruno Caboclo,,activated from IL
29113,2015-03-13,Thunder,,Serge Ibaka,placed on IL with right knee injury (out for season)
29114,2015-03-13,Thunder,Steve Novak,,activated from IL
29115,2015-03-13,Timberwolves,,Kevin Garnett,sore left knee (out for season)
29116,2015-03-13,Timberwolves,,Nikola Pekovic,sprained right ankle (out for season)
29117,2015-03-13,Warriors,,Andre Iguodala,rest (DTD)
29118,2015-03-13,Warriors,,Andrew Bogut,placed on IL
29119,2015-03-13,Warriors,,Klay Thompson,rest (DTD)
29120,2015-03-13,Warriors,,Stephen Curry,rest (DTD)
29121,2015-03-13,Warriors,James McAdoo ,,activated from IL
29122,2015-03-13,Warriors,,Ognen Kuzmic,shoulder injury (DTD)
29123,2015-03-14,76ers,,Furkan Aldemir,bruised ribs (DTD)
29124,2015-03-14,76ers,,Luc Mbah a Moute,rest (DTD)
29125,2015-03-14,76ers,Jason Richardson,,returned to lineup
29126,2015-03-14,Bucks,,Jared Dudley,knee injury (DTD)
29127,2015-03-14,Bucks,,Michael Carter-Williams,ankle injury (DTD)
29128,2015-03-14,Bucks,O.J. Mayo,,returned to lineup
29129,2015-03-14,Grizzlies,,Jarnell Stokes,placed on IL
29130,2015-03-14,Grizzlies,,Jon Leuer,back injury (DTD)
29131,2015-03-14,Grizzlies,Marc Gasol,,returned to lineup
